YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-03,WEEKDAY,15,TRAIN,EW17,19238,23596
2025-03,WEEKDAY,0,TRAIN,EW15,138,174
2025-03,WEEKENDS/HOLIDAY,12,TRAIN,DT3,6069,2774
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,TE3,69,979
2025-03,WEEKDAY,12,TRAIN,CC23,18497,15721
2025-03,WEEKDAY,5,TRAIN,PE4,671,141
2025-03,WEEKDAY,18,TRAIN,DT23,23957,10077
2025-03,WEEKDAY,9,TRAIN,NS21/DT11,72825,81296
2025-03,WEEKDAY,18,TRAIN,DT31,13520,33440
2025-03,WEEKENDS/HOLIDAY,22,TRAIN,NS17/CC15,5246,11660
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,DT3,4163,4001
2025-03,WEEKDAY,15,TRAIN,CC10/DT26,11454,11985
2025-03,WEEKENDS/HOLIDAY,11,TRAIN,PW1,1595,2718
2025-03,WEEKENDS/HOLIDAY,18,TRAIN,NS7,22343,16824
2025-03,WEEKDAY,8,TRAIN,CC19/DT9,11272,15295
2025-03,WEEKDAY,14,TRAIN,EW16/NE3/TE17,29291,34860
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,TE25,1655,1808
2025-03,WEEKENDS/HOLIDAY,19,TRAIN,CC4/DT15,16244,8664
2025-03,WEEKENDS/HOLIDAY,19,TRAIN,EW5,15832,22101
2025-03,WEEKDAY,22,TRAIN,EW3,5348,18067
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,EW8/CC9,37711,41113
2025-03,WEEKENDS/HOLIDAY,8,TRAIN,TE23,1230,868
2025-03,WEEKDAY,21,TRAIN,NE18,6762,5266
2025-03,WEEKDAY,14,TRAIN,CC26,2491,3412
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,CC26,2000,1286
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,NS10,8299,25257
2025-03,WEEKENDS/HOLIDAY,7,TRAIN,PW3,1030,212
2025-03,WEEKDAY,9,TRAIN,NE10,24398,18036
2025-03,WEEKENDS/HOLIDAY,17,TRAIN,DT10,2794,1866
2025-03,WEEKDAY,8,TRAIN,NS5,83071,26058
2025-03,WEEKDAY,19,TRAIN,PW3,781,2338
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,EW30,1473,690
2025-03,WEEKDAY,20,TRAIN,PW6,611,2089
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,BP10,1621,1842
2025-03,WEEKDAY,10,TRAIN,CC19/DT9,4909,7138
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,TE25,1456,1761
2025-03,WEEKDAY,20,TRAIN,EW24/NS1,112655,46742
2025-03,WEEKENDS/HOLIDAY,18,TRAIN,NS28,5154,1229
2025-03,WEEKENDS/HOLIDAY,22,TRAIN,EW14/NS26,13727,3154
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,EW11,4234,2136
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,NS25/EW13,45429,6846
2025-03,WEEKDAY,15,TRAIN,NE13,22496,21948
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,EW8/CC9,38439,41246
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,DT18,357,1145
2025-03,WEEKENDS/HOLIDAY,7,TRAIN,DT10,1199,1582
2025-03,WEEKENDS/HOLIDAY,19,TRAIN,TE11,1813,2163
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,EW30,1605,753
2025-03,WEEKENDS/HOLIDAY,19,TRAIN,PW1,1400,1172
2025-03,WEEKDAY,5,TRAIN,NS24/NE6/CC1,360,345
2025-03,WEEKENDS/HOLIDAY,20,TRAIN,NS23,28290,11673
2025-03,WEEKDAY,18,TRAIN,EW19,36883,49017
2025-03,WEEKDAY,15,TRAIN,SW5,6747,7589
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,NE10,10725,9031
2025-03,WEEKDAY,20,TRAIN,EW12/DT14,83382,39539
2025-03,WEEKDAY,14,TRAIN,CC7,5751,5764
2025-03,WEEKDAY,7,TRAIN,NS8,75264,28618
2025-03,WEEKDAY,10,TRAIN,NS9/TE2,41676,36529
2025-03,WEEKENDS/HOLIDAY,8,TRAIN,EW25,6686,4042
2025-03,WEEKENDS/HOLIDAY,18,TRAIN,NS13,27597,40514
2025-03,WEEKDAY,5,TRAIN,CC11,1109,1242
2025-03,WEEKENDS/HOLIDAY,8,TRAIN,DT20,1348,2914
2025-03,WEEKENDS/HOLIDAY,14,TRAIN,NS5,14756,15204
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,CC11,2977,5143
2025-03,WEEKENDS/HOLIDAY,9,TRAIN,CC11,2893,10159
2025-03,WEEKDAY,21,TRAIN,PE7,1006,5514
2025-03,WEEKDAY,15,TRAIN,CG2,26710,16771
2025-03,WEEKDAY,8,TRAIN,CC5,3626,15853
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,EW29,6886,4544
2025-03,WEEKDAY,18,TRAIN,PE3,7178,15028
2025-03,WEEKENDS/HOLIDAY,6,TRAIN,EW1,6939,2163
2025-03,WEEKDAY,19,TRAIN,SE4,2473,8699
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,PE7,2146,2471
2025-03,WEEKDAY,13,TRAIN,SE4,3234,3476
2025-03,WEEKDAY,23,TRAIN,DT17,3942,722
